epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,736.983,0.69334,0.81139,0.936,0.62702,0.58605,0.637,0.52224,0.71132,0.8473,0.99241,0.000742625,0.000742625,0.000742625
43,754.604,0.68837,0.79573,0.93925,0.49155,0.67368,0.63219,0.5288,0.70217,0.85911,0.98479,0.00073025,0.00073025,0.00073025
44,772.243,0.71216,0.79824,0.9429,0.69697,0.62106,0.64879,0.53662,0.70325,0.83579,0.99561,0.000717875,0.000717875,0.000717875
45,789.5,0.69259,0.77619,0.94746,0.55705,0.63854,0.61891,0.51494,0.69904,0.89126,0.98678,0.0007055,0.0007055,0.0007055
46,807.078,0.69007,0.78356,0.94082,0.61476,0.70494,0.6782,0.57007,0.72276,0.81766,1.00057,0.000693125,0.000693125,0.000693125
47,824.584,0.68457,0.753,0.94277,0.56918,0.7131,0.65199,0.54406,0.69241,0.84916,0.97236,0.00068075,0.00068075,0.00068075
48,842.137,0.6993,0.78133,0.9473,0.49467,0.67634,0.58823,0.48817,0.70976,0.9427,0.98602,0.000668375,0.000668375,0.000668375
49,859.851,0.67613,0.74107,0.93967,0.62432,0.58962,0.64886,0.54238,0.6825,0.85743,0.97526,0.000656,0.000656,0.000656
50,877.461,0.70402,0.75335,0.95411,0.57375,0.69412,0.6514,0.54361,0.68844,0.82555,0.98133,0.000643625,0.000643625,0.000643625
51,896.104,0.67339,0.74371,0.9385,0.59856,0.69648,0.66666,0.56153,0.67694,0.79779,0.9727,0.00063125,0.00063125,0.00063125
52,914.289,0.68811,0.72064,0.94145,0.75546,0.59824,0.68797,0.5766,0.69773,0.78154,0.99092,0.000618875,0.000618875,0.000618875
53,931.888,0.68057,0.72225,0.93926,0.66219,0.68381,0.68587,0.58435,0.68519,0.76239,0.97443,0.0006065,0.0006065,0.0006065
54,949.255,0.67631,0.735,0.9352,0.56785,0.70417,0.63696,0.54004,0.68893,0.86156,0.98063,0.000594125,0.000594125,0.000594125
55,966.525,0.6783,0.71467,0.93942,0.62202,0.62767,0.6507,0.53547,0.69365,0.7782,0.98314,0.00058175,0.00058175,0.00058175
56,984.183,0.67484,0.68928,0.92956,0.65373,0.58829,0.63925,0.5347,0.68837,0.81289,0.97898,0.000569375,0.000569375,0.000569375
57,1002.84,0.67681,0.71386,0.94133,0.62627,0.61106,0.63177,0.52231,0.69149,0.8508,0.98564,0.000557,0.000557,0.000557
58,1021.7,0.66395,0.70823,0.92259,0.65928,0.66368,0.65652,0.54987,0.68841,0.81229,0.97285,0.000544625,0.000544625,0.000544625
59,1039.6,0.65845,0.68823,0.9238,0.66378,0.58227,0.6261,0.52767,0.6727,0.85443,0.96263,0.00053225,0.00053225,0.00053225
60,1057.76,0.65989,0.69554,0.92949,0.56898,0.61458,0.65692,0.55606,0.67928,0.8004,0.9779,0.000519875,0.000519875,0.000519875
61,1075.41,0.66678,0.68893,0.92956,0.56305,0.66032,0.61894,0.5137,0.67837,0.82036,0.98143,0.0005075,0.0005075,0.0005075
62,1093.01,0.65879,0.67452,0.93046,0.53069,0.69906,0.64463,0.53356,0.71843,0.81888,1.00261,0.000495125,0.000495125,0.000495125
63,1110.64,0.655,0.65678,0.93123,0.59529,0.7129,0.64037,0.53853,0.69873,0.87062,0.98428,0.00048275,0.00048275,0.00048275
64,1128.46,0.65862,0.68199,0.93369,0.65092,0.64143,0.6886,0.58479,0.68749,0.77727,0.97675,0.000470375,0.000470375,0.000470375
65,1145.29,0.66847,0.64588,0.93355,0.6174,0.66082,0.64185,0.53576,0.68827,0.84075,0.98009,0.000458,0.000458,0.000458
66,1162.01,0.64977,0.65582,0.91546,0.59716,0.63296,0.65915,0.54966,0.70383,0.82555,0.98529,0.000445625,0.000445625,0.000445625
67,1178.59,0.63999,0.63647,0.9189,0.52405,0.76626,0.68468,0.57816,0.6858,0.77444,0.98038,0.00043325,0.00043325,0.00043325
68,1196.48,0.64601,0.66215,0.92086,0.51744,0.69428,0.63305,0.5398,0.69121,0.87594,0.97761,0.000420875,0.000420875,0.000420875
69,1214.06,0.62895,0.63522,0.91552,0.66409,0.64076,0.65325,0.54718,0.66946,0.82513,0.96939,0.0004085,0.0004085,0.0004085
70,1232.26,0.64564,0.64875,0.92652,0.56683,0.62189,0.62753,0.53982,0.66119,0.83402,0.96379,0.000396125,0.000396125,0.000396125
