epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,86.7553,1.6178,1.10747,0.90959,0.78587,0.59075,0.59691,0.40225,1.49958,1.00872,0.88447,0.000742625,0.000742625,0.000742625
43,88.6942,1.64812,1.15648,0.89832,0.77694,0.56823,0.59468,0.42009,1.63132,1.06254,0.89329,0.00073025,0.00073025,0.00073025
44,90.7193,1.64513,1.08471,0.90927,0.8045,0.54093,0.59946,0.41455,1.79946,1.11149,0.91738,0.000717875,0.000717875,0.000717875
45,92.7119,1.56758,1.06417,0.89836,0.89455,0.51884,0.63778,0.45261,1.70416,0.98782,0.90496,0.0007055,0.0007055,0.0007055
46,94.8192,1.59799,1.08126,0.89648,0.78695,0.58992,0.64997,0.49515,1.43363,0.89128,0.88151,0.000693125,0.000693125,0.000693125
47,96.7974,1.5985,1.17958,0.89084,0.80721,0.58387,0.67776,0.48174,1.52508,0.90402,0.89153,0.00068075,0.00068075,0.00068075
48,98.7985,1.65854,1.11837,0.88694,0.59282,0.60531,0.69337,0.4664,1.62931,0.92288,0.89959,0.000668375,0.000668375,0.000668375
49,100.764,1.65251,1.08959,0.88845,0.61265,0.6464,0.71155,0.49162,1.52864,0.91138,0.89122,0.000656,0.000656,0.000656
50,102.773,1.6265,1.1428,0.89615,0.63408,0.58048,0.67694,0.46819,1.48749,0.94225,0.88452,0.000643625,0.000643625,0.000643625
51,104.72,1.58837,1.09698,0.90653,0.62873,0.54154,0.65805,0.45576,1.59008,0.96653,0.89182,0.00063125,0.00063125,0.00063125
52,106.727,1.60197,1.04941,0.89699,0.51793,0.54888,0.63044,0.4186,1.41505,0.91225,0.87999,0.000618875,0.000618875,0.000618875
53,108.645,1.52488,1.07349,0.88648,0.55956,0.51176,0.61913,0.42065,1.3935,0.9421,0.88106,0.0006065,0.0006065,0.0006065
54,110.63,1.46394,0.9814,0.87868,0.52112,0.57021,0.6586,0.42527,1.82183,1.08898,0.93551,0.000594125,0.000594125,0.000594125
55,112.541,1.52752,1.07351,0.89703,0.52841,0.57379,0.65883,0.43847,1.78014,1.08188,0.92949,0.00058175,0.00058175,0.00058175
56,114.516,1.52606,1.02487,0.88768,0.43081,0.5812,0.63092,0.4256,1.67732,1.03555,0.91123,0.000569375,0.000569375,0.000569375
57,116.479,1.48965,1.06574,0.89081,0.43341,0.58271,0.6325,0.40788,1.59142,0.99748,0.90528,0.000557,0.000557,0.000557
58,118.529,1.51911,1.05383,0.89624,0.51276,0.56502,0.60694,0.41336,1.47691,0.92977,0.89579,0.000544625,0.000544625,0.000544625
59,120.529,1.51032,1.00845,0.87442,0.53088,0.53139,0.61699,0.47035,1.43389,0.92779,0.88579,0.00053225,0.00053225,0.00053225
60,122.502,1.47472,1.02417,0.87458,0.53743,0.54905,0.62335,0.47186,1.46302,0.93699,0.87766,0.000519875,0.000519875,0.000519875
61,124.444,1.59767,1.09565,0.89478,0.49686,0.58048,0.6264,0.47804,1.46516,0.95389,0.87587,0.0005075,0.0005075,0.0005075
62,126.453,1.49317,1.00678,0.88549,0.6399,0.54966,0.65542,0.52976,1.36181,0.91708,0.87307,0.000495125,0.000495125,0.000495125
63,128.366,1.41886,0.96884,0.87603,0.90258,0.55651,0.66441,0.52323,1.35987,0.89596,0.87448,0.00048275,0.00048275,0.00048275
64,130.356,1.46615,0.94977,0.88163,0.92657,0.56678,0.66838,0.51706,1.37051,0.901,0.8632,0.000470375,0.000470375,0.000470375
65,132.293,1.43534,0.9086,0.88797,0.93462,0.57021,0.65296,0.51841,1.40633,0.914,0.86971,0.000458,0.000458,0.000458
66,134.251,1.34293,0.98867,0.87145,0.63445,0.56386,0.64941,0.44579,1.37102,0.85599,0.87337,0.000445625,0.000445625,0.000445625
67,136.183,1.46177,1.03173,0.86377,0.64219,0.53093,0.65465,0.4624,1.38549,0.86871,0.87708,0.00043325,0.00043325,0.00043325
68,138.181,1.52099,1.00912,0.89809,0.54953,0.62928,0.65507,0.43874,1.37214,0.95257,0.86828,0.000420875,0.000420875,0.000420875
69,140.116,1.45966,0.99608,0.86675,0.5682,0.62919,0.66331,0.43872,1.40246,0.88596,0.87037,0.0004085,0.0004085,0.0004085
70,142.117,1.49706,1.00197,0.87686,0.65969,0.53221,0.65461,0.45888,1.35885,0.85813,0.86704,0.000396125,0.000396125,0.000396125
71,144.074,1.45004,0.98223,0.86288,0.6467,0.53734,0.64071,0.4454,1.35558,0.85639,0.87093,0.00038375,0.00038375,0.00038375
72,146.051,1.44155,0.95897,0.88388,0.66808,0.54966,0.63641,0.4668,1.40367,0.89712,0.87506,0.000371375,0.000371375,0.000371375
73,148.002,1.48302,1.04305,0.88742,0.66965,0.54943,0.63608,0.45706,1.41366,0.8767,0.87991,0.000359,0.000359,0.000359
74,150.05,1.46742,1.04512,0.89375,0.65194,0.52911,0.63386,0.44738,1.34703,0.86092,0.87759,0.000346625,0.000346625,0.000346625
75,151.952,1.47217,0.98261,0.87908,0.62988,0.55018,0.64288,0.45851,1.34556,0.85922,0.87756,0.00033425,0.00033425,0.00033425
76,153.934,1.40604,0.93173,0.86508,0.6454,0.56062,0.62965,0.46072,1.5231,0.89332,0.88989,0.000321875,0.000321875,0.000321875
77,155.874,1.54068,1.00722,0.88924,0.63805,0.56092,0.6369,0.48916,1.60636,0.92356,0.89536,0.0003095,0.0003095,0.0003095
78,157.865,1.44933,0.98217,0.87417,0.64837,0.56231,0.63134,0.4851,1.53715,0.89932,0.88803,0.000297125,0.000297125,0.000297125
79,159.819,1.36061,0.92803,0.86577,0.89853,0.55993,0.6395,0.49396,1.37991,0.83627,0.87428,0.00028475,0.00028475,0.00028475
80,161.755,1.35537,0.92607,0.87216,0.63758,0.54281,0.63472,0.49217,1.30426,0.81727,0.8705,0.000272375,0.000272375,0.000272375
81,163.67,1.40665,0.89875,0.86078,0.63512,0.54527,0.6315,0.48771,1.31337,0.8143,0.87547,0.00026,0.00026,0.00026
82,165.668,1.40924,0.90131,0.86901,0.6822,0.55165,0.64789,0.46127,1.37654,0.87355,0.87663,0.000247625,0.000247625,0.000247625
83,167.622,1.35146,0.86815,0.86752,0.66733,0.56437,0.65435,0.46385,1.40061,0.89366,0.88096,0.00023525,0.00023525,0.00023525
84,169.59,1.36831,0.86202,0.87162,0.64407,0.55993,0.65909,0.47076,1.4121,0.87952,0.87726,0.000222875,0.000222875,0.000222875
85,171.568,1.39884,0.8936,0.87733,0.66596,0.55993,0.65826,0.49979,1.40428,0.87428,0.87475,0.0002105,0.0002105,0.0002105
86,173.533,1.41035,0.8898,0.87146,0.64277,0.54337,0.63815,0.48623,1.35603,0.84694,0.87756,0.000198125,0.000198125,0.000198125
87,175.454,1.37784,0.91264,0.85804,0.67282,0.56326,0.6319,0.48269,1.33694,0.82953,0.87607,0.00018575,0.00018575,0.00018575
88,177.441,1.41516,0.88759,0.85887,0.67204,0.5621,0.63156,0.48112,1.33055,0.80901,0.8767,0.000173375,0.000173375,0.000173375
89,179.473,1.34816,0.84221,0.87431,0.6737,0.56346,0.63143,0.48701,1.32841,0.7995,0.8767,0.000161,0.000161,0.000161
90,181.556,1.396,0.87011,0.86317,0.66788,0.56678,0.64615,0.49741,1.33281,0.8056,0.8789,0.000148625,0.000148625,0.000148625
91,205.289,1.39413,0.98006,0.88491,0.66295,0.55918,0.65497,0.50219,1.34622,0.82712,0.87866,0.00013625,0.00013625,0.00013625
92,207.313,1.36871,0.90045,0.87919,0.64247,0.56644,0.65754,0.49811,1.40525,0.8532,0.87954,0.000123875,0.000123875,0.000123875
93,209.23,1.39011,0.97299,0.86905,0.64609,0.56569,0.66238,0.50199,1.3994,0.85536,0.87716,0.0001115,0.0001115,0.0001115
94,211.21,1.29528,0.91236,0.86138,0.64826,0.55923,0.66428,0.51106,1.33338,0.84794,0.87083,9.9125e-05,9.9125e-05,9.9125e-05
95,213.135,1.31542,0.87502,0.88669,0.649,0.55801,0.66457,0.51213,1.3131,0.85117,0.86871,8.675e-05,8.675e-05,8.675e-05
96,215.096,1.25323,0.84411,0.87101,0.64655,0.55666,0.66717,0.51043,1.28495,0.85574,0.8664,7.4375e-05,7.4375e-05,7.4375e-05
97,216.991,1.32192,0.88319,0.88742,0.6412,0.55634,0.67211,0.52646,1.27467,0.86028,0.86703,6.2e-05,6.2e-05,6.2e-05
98,218.957,1.30008,0.86578,0.87981,0.64503,0.55347,0.67472,0.52886,1.27892,0.87657,0.86576,4.9625e-05,4.9625e-05,4.9625e-05
99,220.849,1.31764,0.89999,0.85917,0.65062,0.54553,0.6747,0.51891,1.27128,0.87,0.86556,3.725e-05,3.725e-05,3.725e-05
100,222.797,1.31606,0.8965,0.85618,0.65339,0.54301,0.66611,0.48908,1.26621,0.87158,0.86561,2.4875e-05,2.4875e-05,2.4875e-05
